MicroRNA;GeneName;EntrezID;Evidence
hsa-mir-99b-5p;TLR4;7099;21646346
hsa-mir-99b-5p;CD80;941;21646346
hsa-mir-99b-5p;DICER1;23405;21646346
hsa-mir-99b-5p;NDUFA2;4695;21646346
hsa-mir-99a-5p;CCND1;595;21878637
hsa-mir-99a-5p;FRAP1;2475;22751686
hsa-mir-99a-5p;FRAP1;2475;23292834
hsa-mir-99a-5p;ACOT7;11332;20484036
hsa-mir-99a-5p;FRAP1;2475;20484036
hsa-mir-99a-5p;FRAP1;2475;21212412
hsa-mir-99a-5p;PSAT1;29968;21212412
hsa-mir-99a-5p;SMARCD1;6602;21212412
hsa-mir-99a-5p;SMARCA5;8467;21212412
hsa-mir-99a-5p;FRAP1;2475;21878637
hsa-mir-98-5p;IL10;3586;21609717
hsa-mir-98-5p;PTGS2;5743;21609717
hsa-mir-98-5p;TLR4;7099;21609717
hsa-mir-98-5p;HMGA2;8091;17222355
hsa-mir-98-5p;IL1B;3553;19008124
hsa-mir-98-5p;MMP13;4322;19008124
hsa-mir-98-5p;SARS2;54938;19915717
hsa-mir-98-5p;PTPRC;5788;19915717
hsa-mir-98-5p;ACE2;59272;19915717
hsa-mir-98-5p;CASP3;836;19915717
hsa-mir-98-5p;NPC1;4864;21075073
hsa-mir-96-5p;KLK3;354;20378769
hsa-mir-96-5p;AKT1;207;22414602
hsa-mir-96-5p;CDKN1A;1026;21203424
hsa-mir-96-5p;BCR;613;19074828
hsa-mir-96-5p;SOCS2;8835;22524533
hsa-mir-96-5p;FMR1;2332;20197067
hsa-mir-96-5p;CASP2;835;21768104
hsa-mir-96-5p;PPIA;5478;20378769
hsa-mir-96-5p;ALK;238;22414602
hsa-mir-96-5p;BCL2L11;10018;23262295
hsa-mir-96-5p;CDKN1B;1027;21203424
hsa-mir-96-5p;USF2;7392;19074828
hsa-mir-96-5p;DICER1;23405;20197067
hsa-mir-96-5p;MAP4K1;11184;21993544
hsa-mir-96-5p;RIT2;6014;20378769
hsa-mir-96-5p;MAPK8;5599;22414602
hsa-mir-96-5p;SSSCA1;10534;23262295
hsa-mir-96-5p;SSSCA1;10534;21203424
hsa-mir-96-5p;GFI1;2672;19363478
hsa-mir-96-5p;SCPEP1;59342;20197067
hsa-mir-96-5p;IRS1;3667;21993544
hsa-mir-96-5p;TBP;6908;20378769
hsa-mir-96-5p;STAT3;6774;22414602
hsa-mir-96-5p;PTPRR;5801;19363478
hsa-mir-96-5p;FOXO3;2309;21203424
hsa-mir-96-5p;FXR1;8087;20197067
hsa-mir-96-5p;EIF2C1;26523;22013051
hsa-mir-96-5p;SLC1A1;6505;20478254
hsa-mir-96-5p;CISH;1154;22420006
hsa-mir-96-5p;PITPNM1;9600;19363478
hsa-mir-96-5p;CCND1;595;21203424
hsa-mir-96-5p;MOS;4342;20203184
hsa-mir-96-5p;EIF2C2;27161;22013051
hsa-mir-96-5p;AKT1;207;20610624
hsa-mir-96-5p;ADCY6;112;17597072
hsa-mir-96-5p;FABP4;2167;22441842
hsa-mir-96-5p;DICER1;23405;19519957
hsa-mir-96-5p;CREB1;1385;21275079
hsa-mir-96-5p;SAG;6295;20203184
hsa-mir-96-5p;FBXW7;55294;22013051
hsa-mir-96-5p;KRAS;3845;20610624
hsa-mir-96-5p;MITF;4286;17597072
hsa-mir-96-5p;SOX9;6662;22441842
hsa-mir-96-5p;FBN1;2200;19699278
hsa-mir-96-5p;COX8A;1351;21298008
hsa-mir-96-5p;CDH17;1015;20378769
hsa-mir-96-5p;DICER1;23405;22038834
hsa-mir-96-5p;GPHN;10243;20864449
hsa-mir-96-5p;RHOD;29984;18034880
hsa-mir-96-5p;IL8;3576;22524533
hsa-mir-96-5p;FSCN1;6624;19699278
hsa-mir-96-5p;DICER1;23405;21360794
hsa-mir-96-5p;PSAT1;29968;20378769
hsa-mir-96-5p;NR3C1;2908;22128032
hsa-mir-96-5p;SLC12A5;57468;20864449
hsa-mir-96-5p;HTR1B;3351;18283276
hsa-mir-96-5p;MYD88;4615;22524533
hsa-mir-96-5p;TIA1;7072;19699278
hsa-mir-96-5p;ATOH1;474;21360794
hsa-mir-96-5p;HIF1A;3091;20378769
hsa-mir-96-5p;POMC;5443;22128032
hsa-mir-96-5p;RGS2;5997;20864449
hsa-mir-96-5p;PRPH2;5961;18834879
hsa-mir-96-5p;IL23A;51561;22524533
hsa-mir-96-5p;VAMP8;8673;19943878
hsa-mir-96-5p;ARRDC3;57561;21768104
hsa-mir-96-5p;HPRT1;3251;20378769
hsa-mir-96-5p;RNASEH2A;10535;22414602
hsa-mir-96-5p;HOMER1;9456;20864449
hsa-mir-96-5p;MCL1;4170;19074828
hsa-mir-96-5p;STAT6;6778;22524533
hsa-mir-96-5p;CAPNS1;826;20158686
hsa-mir-96-5p;NEUROD4;58158;21768104
hsa-mir-941;SLC27A4;10999;19784364
hsa-mir-941;EIF2C2;27161;19784364
