geneName;entrezId;mirnaName;Interaction;evidencePMID
AML1;862;hsa-mir-223-3p;-1;17996649
AP-1;3725;hsa-mir-21-5p;1;18384814,18850008
BCR;613;hsa-mir-155-5p;1;18048365
BMP2;650;hsa-mir-24-1;1;19285018
BMP2;650;hsa-mir-31-5p;1;19285018
BMP6;654;hsa-mir-21-5p;-1;19308091
BRCA1;672;hsa-mir-146a-5p;1;19190326
BRCA1;672;hsa-mir-146b-5p;1;19190326
CEBPA;1050;hsa-mir-1;1;18818206
CCND1;595;hsa-mir-17-5p;1;18695042
CCND1;595;hsa-mir-20a-5p;1;18695042
c-myb;4602;hsa-mir-15a-5p;1;18818396
CREB1;1385;hsa-mir-132-3p;1;17994015
E2F1;1869;hsa-mir-106a-5p;1;19034270
E2F1;1869;hsa-mir-106b-5p;1;19034270
E2F1;1869;hsa-mir-17-5p;1;19034270
E2F1;1869;hsa-mir-18b-5p;1;19034270
E2F1;1869;hsa-mir-19b-2;1;19034270
E2F1;1869;hsa-mir-20b-5p;1;19034270
E2F1;1869;hsa-mir-25-3p;1;19034270
E2F1;1869;hsa-mir-363-3p;1;19034270
E2F1;1869;hsa-mir-92a-2;1;19034270
E2F1;1869;hsa-mir-93-5p;1;19034270
E2F1;1869;hsa-mir-17-5p;1;19066217
E2F1;1869;hsa-mir-18a-5p;1;19066217
E2F1;1869;hsa-mir-19a-3p;1;19066217
E2F1;1869;hsa-mir-19b-3p;1;19066217
E2F1;1869;hsa-mir-20a-5p;1;19066217
E2F1;1869;hsa-mir-92a-3p;1;19066217
EGR1;1958;hsa-mir-106a-5p;1;19307576
EIF2C2;27161;hsa-let-7a-5p;1;19064005
EIF2C2;27161;hsa-let-7b-5p;1;19064005
EIF2C2;27161;hsa-let-7c;1;19064005
EIF2C2;27161;hsa-let-7d-5p;1;19064005
EIF2C2;27161;hsa-let-7e-5p;1;19064005
EIF2C2;27161;hsa-let-7f-5p;1;19064005
EIF2C2;27161;hsa-let-7g-5p;1;19064005
EIF2C2;27161;hsa-let-7i-5p;1;19064005
ERS1;2099;hsa-mir-21-5p;1;19264808
FOXP3;50943;hsa-mir-155-5p;1;19144316,19234151
FSH;6046;hsa-let-7a-5p;-1;19273269
FSH;6046;hsa-mir-143-3p;-1;19273269
FSH;6046;hsa-mir-15b-5p;-1;19273269
GATA1;2623;hsa-mir-144-3p;1;18303114
GATA1;2623;hsa-mir-451a;1;18303114
HIF1A;3091;hsa-mir-210;1;18316553
HMGA1;3159;hsa-mir-101-2;1;19169275
HMGA1;3159;hsa-mir-196a-2;1;19169275
HMGA1;3159;hsa-mir-29a-3p;1;19169275
HMGA1;3159;hsa-mir-331-3p;1;19169275
HNF1A;6927;hsa-mir-194-5p;1;18029763
HNF1A;6927;hsa-mir-194-5p;1;18492795
HoxD10;3236;hsa-mir-7-5p;1;18922890
IL1B;3553;hsa-mir-9-5p;1;19289835
IL1B;3553;hsa-mir-146a-5p;1;19333945
LMO2;4005;hsa-mir-142;-1;17972953
LPS;3664;hsa-mir-9-1;1;19289835
MECP2;4204;hsa-mir-184;-1;18203756
MRF4;4618;hsa-mir-1;1;18619954
MRF4;4618;hsa-mir-133a;1;18619954
MRF4;4618;hsa-mir-206;1;18619954
MYF5;4617;hsa-mir-1;1;18619954
MYF5;4617;hsa-mir-206;1;18619954
MYC;4609;hsa-mir-106a-5p;1;17943719
MYC;4609;hsa-mir-17-5p;1;17943719,19066217
MYC;4609;hsa-mir-18a-5p;1;17943719,19066217
