hsa:645954;SVILP1;supervillin pseudogene 1
hsa:283711;UBE2CP4;ubiquitin-conjugating enzyme E2C pseudogene 4
hsa:400645;RBM22P1,FLJ45994;RNA binding motif protein 22 pseudogene 1
hsa:100128416;;RAB28, member RAS oncogene family pseudogene
hsa:8551;INE2,NCRNA00011;inactivation escape 2 (non-protein coding)
hsa:728658;RPL13AP5,RPL13A_8_1086,bA196N24.2;ribosomal protein L13a pseudogene 5
hsa:100124412;FAM138E,F379;family with sequence similarity 138, member E
hsa:407835;;mitogen-activated protein kinase kinase 2 pseudogene
hsa:84054;PCDHB19P,PCDH-PSI5,PCDHB19;protocadherin beta 19 pseudogene
hsa:654835;FAM138C,F379;family with sequence similarity 138, member C
hsa:360155;CYCSP52,HC6,HCP2;cytochrome c, somatic pseudogene 52
hsa:677784;FAM138D,F379;family with sequence similarity 138, member D
hsa:644649;;apolipoprotein O pseudogene
hsa:260341;TFAMP1,MTTF1,TCF6L1;transcription factor A, mitochondrial pseudogene 1
hsa:83955;NACAP1;nascent-polypeptide-associated complex alpha polypeptide pseudogene 1
hsa:613037;;nuclear pore complex interacting protein pseudogene
hsa:100303749;;LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) pseudogene
hsa:1197;CLK2P;CDC-like kinase 2, pseudogene
hsa:376412;RNF126P1;ring finger protein 126 pseudogene 1
hsa:400322;HERC2P2,D15F37S3,MN7;hect domain and RLD 2 pseudogene 2
hsa:79469;DLEU2L,BCMSUNL;deleted in lymphocytic leukemia 2-like
hsa:118432;RPL29P2,RPL29_10_1510;ribosomal protein L29 pseudogene 2
hsa:140771;SMCR5,NCRNA00034;Smith-Magenis syndrome chromosome region, candidate 5 (non-protein coding)
hsa:100131561;FKSG29;FKSG29
hsa:647033;PA2G4P4,PA2G4L1;proliferation-associated 2G4 pseudogene 4
hsa:25787;DGCR9,DGS-A;DiGeorge syndrome critical region gene 9
hsa:649946;RPL23AP64,RPL23A_25_1182;ribosomal protein L23a pseudogene 64
hsa:728963;RPS15AP10,RPS15A_4_42;ribosomal protein S15a pseudogene 10
hsa:606724;;coronin, actin binding protein, 1A pseudogene
hsa:440359;YBX3P1,CSDAP1;Y box binding protein 3 pseudogene 1
hsa:388242;;coiled-coil domain containing 101 pseudogene
hsa:613038;;coiled-coil domain containing 101 pseudogene
hsa:474338;SUMO1P3;SUMO1 pseudogene 3
hsa:730668;;dynein heavy chain -like pseudogene
hsa:54661;PCDHB17,ME4,PCDH-psi1;protocadherin beta 17 pseudogene
hsa:54660;PCDHB18,PCDH-psi2;protocadherin beta 18 pseudogene
hsa:100151643;KRTAP20-4,KAP20.4;keratin associated protein 20-4
hsa:729633;MRS2P2;MRS2 magnesium homeostasis factor homolog (S. cerevisiae) pseudogene 2
hsa:387841;RPL13AP20,RPL13A_9_1211;ribosomal protein L13a pseudogene 20
hsa:442720;EIF3IP1,RG208K23;eukaryotic translation initiation factor 3, subunit I pseudogene 1
hsa:389033;;placenta-specific 9 pseudogene
hsa:100129424;RPL19P12,RPL19_4_829;ribosomal protein L19 pseudogene 12
hsa:100132103;FAM66E;family with sequence similarity 66, member E
hsa:347694;ECEL1P2,ECEL2;endothelin converting enzyme-like 1, pseudogene 2
hsa:286367;;FP944
hsa:729096;BMS1P4,BMS1LP4;BMS1 pseudogene 4
hsa:79166;LILRP2,CD85m,ILT10,LILRA5;leukocyte immunoglobulin-like receptor pseudogene 2
hsa:641311;RPL31P11,RPL31_1_108;ribosomal protein L31 pseudogene 11
hsa:7302;TYRO3P;TYRO3P protein tyrosine kinase pseudogene
hsa:359821;MRPL42P5;mitochondrial ribosomal protein L42 pseudogene 5
hsa:100131205;RPL21P28,RPL21_8_160;ribosomal protein L21 pseudogene 28
hsa:347746;PAR-SN;paternally expressed transcript PAR-SN
hsa:441818;WBP11P1,HsT3017;WW domain binding protein 11 pseudogene 1
hsa:401127;;WD repeat domain 5 pseudogene
hsa:222901;RPL23P8,RPL23_4_790;ribosomal protein L23 pseudogene 8
hsa:340198;IFITM4P,dJ377H14.5;interferon induced transmembrane protein 4 pseudogene
hsa:441455;;makorin ring finger protein 1 pseudogene
hsa:256355;RPS2P32,RPS2_14_794;ribosomal protein S2 pseudogene 32
hsa:2713;GK3P,GKP3,GKTB;glycerol kinase 3 pseudogene
hsa:646243;CXADRP2;coxsackie virus and adenovirus receptor pseudogene 2
hsa:83956;RACGAP1P,FKSG42;Rac GTPase activating protein 1 pseudogene
hsa:345630;FBLL1;fibrillarin-like 1
hsa:441454;;prothymosin, alpha pseudogene
hsa:403340;MGC70870;C-terminal binding protein 2 pseudogene
hsa:653653;;adaptor-related protein complex 1, sigma 2 subunit pseudogene
hsa:283922;;pyruvate dehydrogenase phosphatase regulatory subunit pseudogene
hsa:7152;TOP1P2;topoisomerase (DNA) I pseudogene 2
hsa:728495;FAM74A3;family with sequence similarity 74, member A3
hsa:644172;;mitogen-activated protein kinase 8 interacting protein 1 pseudogene
hsa:171423;PDIA3P,ERp60,GRP58P;protein disulfide isomerase family A, member 3 pseudogene
hsa:401507;FAM74A1;family with sequence similarity 74, member A1
hsa:649395;;tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide pseudogene
